entity_id,state,last_changed
sensor.combined_mesh_solar_energy,23807.85,2026-06-29T08:22:45.671Z
sensor.combined_mesh_solar_energy,23807.9,2026-06-29T08:24:33.631Z
sensor.combined_mesh_solar_energy,23807.95,2026-06-29T08:26:50.161Z
sensor.combined_mesh_solar_energy,23808.01,2026-06-29T08:28:43.288Z
sensor.combined_mesh_solar_energy,23808.14,2026-06-29T08:32:21.364Z
sensor.combined_mesh_solar_energy,23808.22,2026-06-29T08:34:16.720Z
sensor.combined_mesh_solar_energy,23808.3,2026-06-29T08:36:55.261Z
sensor.combined_mesh_solar_energy,23808.4,2026-06-29T08:38:53.280Z
sensor.combined_mesh_solar_energy,23808.5,2026-06-29T08:40:27.518Z
sensor.combined_mesh_solar_energy,23808.64,2026-06-29T08:43:01.278Z
sensor.combined_mesh_solar_energy,23808.78,2026-06-29T08:44:41.239Z
sensor.combined_mesh_solar_energy,23808.9,2026-06-29T08:46:58.107Z
sensor.combined_mesh_solar_energy,23809.02,2026-06-29T08:48:41.270Z
sensor.combined_mesh_solar_energy,23809.15,2026-06-29T08:50:11.911Z
sensor.combined_mesh_solar_energy,23809.29,2026-06-29T08:52:36.357Z
sensor.combined_mesh_solar_energy,23809.41,2026-06-29T08:54:38.449Z
sensor.combined_mesh_solar_energy,23809.52,2026-06-29T08:57:26.346Z
sensor.combined_mesh_solar_energy,23809.62,2026-06-29T08:58:46.993Z
sensor.combined_mesh_solar_energy,23809.72,2026-06-29T09:00:43.625Z
sensor.combined_mesh_solar_energy,23809.81,2026-06-29T09:02:32.285Z
sensor.combined_mesh_solar_energy,23809.9,2026-06-29T09:04:50.300Z
sensor.combined_mesh_solar_energy,23809.99,2026-06-29T09:06:46.271Z
sensor.combined_mesh_solar_energy,23810.07,2026-06-29T09:08:04.265Z
sensor.combined_mesh_solar_energy,23810.15,2026-06-29T09:10:27.241Z
sensor.combined_mesh_solar_energy,23810.21,2026-06-29T09:12:55.277Z
sensor.combined_mesh_solar_energy,23810.27,2026-06-29T09:14:32.271Z
